title,authors,year,venue,abstract_or_snippet,pub_url,eprint_url,num_citations,citedby_url
A Large language model-based multi-agent manufacturing system for intelligent shopfloors,Z Zhao; D Tang; C Liu; L Wang; Z Zhang; H Zhu,2026,Advanced Engineering …,"However, conventional agent  Language Model-based (LLM-based) multi-agent manufacturing  system for intelligent shopfloor management. By defining the diverse modules of agents",https://www.sciencedirect.com/science/article/pii/S1474034625007815,https://arxiv.org/pdf/2405.16887,33,"/scholar?cites=9269389349329070544&as_sdt=5,33&sciodt=0,33&hl=en"
Llm-based multi-agent systems: Techniques and business perspectives,Y Yang; Q Peng; J Wang; Y Wen; W Zhang,2024,arXiv preprint arXiv …,"can be reformulated and reproductionized using LLM agents. The LLM agents can perceive,  control,  -interaction property, the LLM agents can call various external tools to ease the task",https://arxiv.org/abs/2411.14033,https://arxiv.org/pdf/2411.14033?,52,"/scholar?cites=13319848428665112776&as_sdt=5,33&sciodt=0,33&hl=en"
Interactive debugging and steering of multi-agent ai systems,W Epperson; G Bansal; VC Dibia; A Fourney,2025,Proceedings of the …,"multi-agent debugging tool, AGDebugger,  of LLM calls, however do not support LLM based  agents. Tools focused on debugging a single LLM component or predefned pipeline of LLM",https://dl.acm.org/doi/abs/10.1145/3706598.3713581,https://dl.acm.org/doi/full/10.1145/3706598.3713581,63,"/scholar?cites=17699643748958557351&as_sdt=5,33&sciodt=0,33&hl=en"
Self-adaptive large language model (llm)-based multiagent systems,N Nascimento; P Alencar,2023,2023 IEEE International …,"With LLM embedded into each agent, we posit that unique  within these LLMembedded  autonomous agents as they  within this scenario was facilitated through the GPT-4 API. At",https://ieeexplore.ieee.org/abstract/document/10336211/,https://arxiv.org/pdf/2307.06187,113,"/scholar?cites=1256451148422809412&as_sdt=5,33&sciodt=0,33&hl=en"
Agentic AI Modernization: Transforming Institutional Infrastructure Through Orchestrated Multi-Agent LLM Framework,MK Damarched,2026,Journal of Computer Science and …,"• Test Generation and Regression Agent: This tool generates test cases for legacy code, runs  tests against both legacy and modernized implementations, verifies behavioral equivalency",https://al-kindipublishers.org/index.php/jcsts/article/view/12077,https://al-kindipublishers.org/index.php/jcsts/article/download/12077/10792,4,"/scholar?cites=3073185087083014082&as_sdt=5,33&sciodt=0,33&hl=en"
Trustagent: Towards safe and trustworthy llm-based agents,W Hua; X Yang; M Jin; Z Li; W Cheng,2024,Findings of the …,LLM reasoning ability in adhering to the Constitution. This paper sheds light on how to ensure  the safe integration of LLM-based agents  safety regulations for tool usage of single agent.,https://aclanthology.org/2024.findings-emnlp.585/,https://aclanthology.org/2024.findings-emnlp.585.pdf,70,"/scholar?cites=12900998129346945868&as_sdt=5,33&sciodt=0,33&hl=en"
Multi-mission tool bench: Assessing the robustness of llm based agents through related and dynamic missions,P Yu; Y Yang; J Li; Z Zhang; H Wang; X Feng,2025,arXiv preprint arXiv …,"five agents to generate multi-mission test data. We simulate this process with a single LLM.   In evaluating LLM-based agents from a multimission perspective, we identify specific limita",https://arxiv.org/abs/2504.02623,https://arxiv.org/pdf/2504.02623,4,"/scholar?cites=5496169489186937031&as_sdt=5,33&sciodt=0,33&hl=en"
EnvScaler: Scaling Tool-Interactive Environments for LLM Agent via Programmatic Synthesis,X Song; H Chang; G Dong; Y Zhu; Z Dou,2026,arXiv preprint arXiv …,"Environments provide agents with action feedback and rewards for interaction and policy  optimization. We focus on tool-interactive environments, where LLM agents can use tools to",https://arxiv.org/abs/2601.05808,https://arxiv.org/pdf/2601.05808,3,"/scholar?cites=8103497619759791618&as_sdt=5,33&sciodt=0,33&hl=en"
Redcode: Risky code execution and generation benchmark for code agents,C Guo; X Liu; C Xie; A Zhou; Y Zeng,2024,Advances in …,We evaluate 3 types of agents with a total of 19 LLM-based code agents under different  RedCode scenarios. We highlight the following findings from our evaluations: (1) Safety risks,https://proceedings.neurips.cc/paper_files/paper/2024/hash/bfd082c452dffb450d5a5202b0419205-Abstract-Datasets_and_Benchmarks_Track.html,https://proceedings.neurips.cc/paper_files/paper/2024/file/bfd082c452dffb450d5a5202b0419205-Paper-Datasets_and_Benchmarks_Track.pdf,66,"/scholar?cites=8000356619208519710&as_sdt=5,33&sciodt=0,33&hl=en"
Swissnyf: tool grounded llm agents for black box setting,SS Kumar; D Jain; E Agarwal; R Pandey,2024,arXiv preprint arXiv:2402.10051,"In this section, we introduce SwissNYF, a suite that enables LLM-based agents to efficiently  navigate the action space to identify a valid solution for problem-solving in a black box",https://arxiv.org/abs/2402.10051,https://arxiv.org/pdf/2402.10051,2,"/scholar?cites=1257695696370183373&as_sdt=5,33&sciodt=0,33&hl=en"
Verltool: Towards holistic agentic reinforcement learning with tool use,D Jiang; Y Lu; Z Li; Z Lyu; P Nie; H Wang; A Su,2025,arXiv preprint arXiv …,The integration of reinforcement learning with tool use has emerged as a powerful paradigm  for developing adaptive LLM agents. Early tool-calling approaches relied on prompt-based,https://arxiv.org/abs/2509.01055,https://arxiv.org/pdf/2509.01055?,51,"/scholar?cites=16855980702418200461&as_sdt=5,33&sciodt=0,33&hl=en"
Watch out for your agents! investigating backdoor threats to llm-based agents,W Yang; X Bi; Y Lin; S Chen,2024,Advances in Neural …,"tasks including web shopping and tool utilization. Extensive experiments show that  Since  LLM-based agents rely on LLMs as their core controllers, we believe LLM-based agents also",https://proceedings.neurips.cc/paper_files/paper/2024/hash/b6e9d6f4f3428cd5f3f9e9bbae2cab10-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2024/file/b6e9d6f4f3428cd5f3f9e9bbae2cab10-Paper-Conference.pdf,161,"/scholar?cites=18168407162997501881&as_sdt=5,33&sciodt=0,33&hl=en"
PALADIN: Self-Correcting Language Model Agents to Cure Tool-Failure Cases,SV Vuddanti; A Shah; SK Chittiprolu; T Song,2025,arXiv preprint arXiv …,"through systematic training To address this, we propose PALADIN, a generalizable method  for teaching LLM agents to recover from tool-use failures via trajectory-level supervision.",https://arxiv.org/abs/2509.25238,https://arxiv.org/pdf/2509.25238,3,"/scholar?cites=17366721283495222044&as_sdt=5,33&sciodt=0,33&hl=en"
AgentOrchestra: Orchestrating Multi-Agent Intelligence with the Tool-Environment-Agent (TEA) Protocol,W Zhang; L Zeng; Y Xiao; Y Li; C Cui; Y Zhao,2025,arXiv preprint arXiv …,"To enhance flexibility and adaptability, we introduce a unified LLM abstraction layer that  supports both leading commercial models (eg, GPT4.1, Claude-4-Sonnet) and local open-",https://arxiv.org/abs/2506.12508,https://arxiv.org/pdf/2506.12508,1,"/scholar?cites=17803405002375338957&as_sdt=5,33&sciodt=0,33&hl=en"
Simple prompt injection attacks can leak personal data observed by llm agents during task execution,M Alizadeh; Z Samei; D Stetsenko; F Gilardi,2025,arXiv preprint arXiv …,injection can cause tool-calling agents to leak personal data  We evaluate the vulnerability  of LLM agents to prompt  : exfiltration of data observed by the agent during its task execution.,https://arxiv.org/abs/2506.01055,https://arxiv.org/pdf/2506.01055,16,"/scholar?cites=11435493794860142525&as_sdt=5,33&sciodt=0,33&hl=en"
Waitgpt: Monitoring and steering conversational llm agent in data analysis with on-the-fly code visualization,L Xie; C Zheng; H Xia; H Qu; C Zhu-Tian,2024,Proceedings of the 37th …,"First, we asked participants to show their interaction history with LLM agents in data  analysis  We adopt the OpenAI’s API, with the gpt-4-0125-preview model. To manage user-uploaded",https://dl.acm.org/doi/abs/10.1145/3654777.3676374,https://dl.acm.org/doi/fullHtml/10.1145/3654777.3676374,68,"/scholar?cites=9354697760429701579&as_sdt=5,33&sciodt=0,33&hl=en"
Beyond react: A planner-centric framework for complex tool-augmented llm reasoning,X Wei; Y Dong; X Wang; X Zhang; Z Zhao,2026,Proceedings of the …,"In this work, we introduced a Planner-centric framework that decouples planning from  execution to address the local optimization traps of reactive tool-use agents. Our core contribution",https://ojs.aaai.org/index.php/AAAI/article/view/40676,https://ojs.aaai.org/index.php/AAAI/article/view/40676/44637,7,"/scholar?cites=16275696610511684019&as_sdt=5,33&sciodt=0,33&hl=en"
