title,authors,year,venue,abstract_or_snippet,pub_url,eprint_url,num_citations,citedby_url
LLM agent honeypot: monitoring AI hacking agents in the wild,D Volkov,2024,arXiv preprint arXiv:2410.13919,"Recent developments demonstrate that LLMbased agents capable  the LLM Agent Honeypot,  a system designed to monitor LLM- We aim to test widely-used LLM agent frameworks and",https://arxiv.org/abs/2410.13919,https://arxiv.org/pdf/2410.13919?,9,"/scholar?cites=3459414230712635624&as_sdt=5,33&sciodt=0,33&hl=en"
Electionsim: Massive population election simulation powered by large language model driven agents,X Zhang; J Lin; L Sun; W Qi; Y Yang; Y Chen,2024,arXiv preprint arXiv …,Baseline 1: Prompt LLM with user profile After the user pool  Baseline 2: Prompt LLM  with demographic distribution To  Baseline 3: Prompt LLM with multiple information Though,https://arxiv.org/abs/2410.20746,https://arxiv.org/pdf/2410.20746?,46,"/scholar?cites=13850438428718246858&as_sdt=5,33&sciodt=0,33&hl=en"
Hello again! llm-powered personalized agent for long-term dialogue,H Li; C Yang; A Zhang; Y Deng; X Wang,2025,Proceedings of the …,"opendomain dialogue, an LLM-powered dialogue agent framework should exhibit  agent  personalities. In this paper, we propose LD-Agent—a modelagnostic Long-term Dialogue Agent",https://aclanthology.org/2025.naacl-long.272/,https://aclanthology.org/2025.naacl-long.272.pdf,96,"/scholar?cites=15635492636491334896&as_sdt=5,33&sciodt=0,33&hl=en"
Using a Secondary Channel to Display the Internal Empathic Resonance of LLM-Driven Agents for Mental Health Support,M Schmidmaier; J Rupp; S Mayer,2025,Proceedings of the 27th International …,"\%\) ) when the agent’s internal reflections were displayed.  LLM-based chatbots in  empathy-critical contexts. Additionally, this work opens possibilities for multimodal systems where",https://dl.acm.org/doi/abs/10.1145/3716553.3750759,https://dl.acm.org/doi/full/10.1145/3716553.3750759,5,"/scholar?cites=13026390807169958844&as_sdt=5,33&sciodt=0,33&hl=en"
ComAgent: Multi-LLM based Agentic AI Empowered Intelligent Wireless Networks,H Li; M Xiao; K Wang; R Schober; DI Kim,2026,arXiv preprint arXiv …,"Inspired by these insights, this paper proposes a multi-LLM agentic AI architecture that  autonomously manages the entire optimization workflow from conception to solution. Unlike prior",https://arxiv.org/abs/2601.19607,https://arxiv.org/pdf/2601.19607,0,
Malade: Orchestration of llm-powered agents with retrieval augmented generation for pharmacovigilance,J Choi; N Palumbo; P Chalasani; MM Engelhard,2024,arXiv preprint arXiv …,"We present MALADE, the first effective collaborative multi-agent system powered by LLM   to an LLM with relevant information extracted from text resources, and instructing the LLM to",https://arxiv.org/abs/2408.01869,https://arxiv.org/pdf/2408.01869?,19,"/scholar?cites=8912331488730439645&as_sdt=5,33&sciodt=0,33&hl=en"
MAS-KCL: Knowledge component graph structure learning with large language model-based agentic workflow,YH Jiang; K Tang; ZW Chen; Y Wei; TY Liu; J Wu,2025,The Visual Computer,"We develop a large language model (LLM)-powered agentic workflow for MAS-KCL,  where the integration of LLMs effectively facilitates the structural learning of KC graphs.",https://link.springer.com/article/10.1007/s00371-025-03946-1,https://arxiv.org/pdf/2505.14126,6,"/scholar?cites=6960540628836270162&as_sdt=5,33&sciodt=0,33&hl=en"
Automating security audit using large language model based agent: An exploration experiment,JH Chin; P Zhang; YX Cheong; J Pan,2025,arXiv preprint arXiv:2505.10732,"Recently, LLM agents have emerged as a new standard in LLM-driven automation,  demonstrating remarkable potential to expand the scope of automation across both complex and",https://arxiv.org/abs/2505.10732,https://arxiv.org/pdf/2505.10732?,5,"/scholar?cites=12641651965685170928&as_sdt=5,33&sciodt=0,33&hl=en"
Towards efficient llm grounding for embodied multi-agent collaboration,Y Zhang; S Yang; C Bai; F Wu; X Li,2025,Findings of the …,"of each agent was predefined by humans. Compared to previous LLM-based multiagent  works, we  way by using the sequential advantage function from multi-agent RL for cooperation.",https://aclanthology.org/2025.findings-acl.84/,https://aclanthology.org/2025.findings-acl.84.pdf,78,"/scholar?cites=7441440662929626998&as_sdt=5,33&sciodt=0,33&hl=en"
Llm-powered gui agents in phone automation: Surveying progress and prospects,G Liu; P Zhao; Y Liang; L Liu; Y Guo; H Xiao,2025,arXiv preprint arXiv …,"paper systematically reviews LLM-driven phone GUI agents,  fundamental agent frameworks  (single-agent, multi-agent,  , user-friendly phone GUI agents. The collection of papers",https://arxiv.org/abs/2504.19838,https://arxiv.org/pdf/2504.19838,40,"/scholar?cites=6050737529106194091&as_sdt=5,33&sciodt=0,33&hl=en"
Enabling personalized long-term interactions in llm-based agents through persistent memory and user profiles,R Westhäußer; W Minker; S Zepf,2025,arXiv preprint arXiv:2510.07925,LLM-based agents. Combined with established agentic AI patterns such as multi-agent   user profiles to improve the adaptivity and perceived personalization of LLM-based agents.,https://arxiv.org/abs/2510.07925,https://arxiv.org/pdf/2510.07925,5,"/scholar?cites=3716212119541559032&as_sdt=5,33&sciodt=0,33&hl=en"
Optima: Optimizing effectiveness and efficiency for llm-based multi-agent system,W Chen; J Yuan; C Qian; C Yang; Z Liu,2025,Findings of the …,"Before starting the iterative training process, we address a critical challenge in LLM-based  MAS: agents often produce responses in a similar style across conversation trajectories, even",https://aclanthology.org/2025.findings-acl.601/,https://aclanthology.org/2025.findings-acl.601.pdf,52,"/scholar?cites=15918288225463139761&as_sdt=5,33&sciodt=0,33&hl=en"
Commercial llm agents are already vulnerable to simple yet dangerous attacks,A Li; Y Zhou; VC Raghuram; T Goldstein,2025,arXiv preprint arXiv …,"Recent security incidents involving deployed agents (Record We show that existing LLM  agents are susceptible to attacks  In this paper, we argue that LLM-powered agents, especially",https://arxiv.org/abs/2502.08586,https://arxiv.org/pdf/2502.08586,49,"/scholar?cites=10391305435070620916&as_sdt=5,33&sciodt=0,33&hl=en"
DORA: Dynamic optimization prompt for continuous reflection of LLM-based agent,K Li; T Zhao; W Zhou; S Hu,2025,Proceedings of the 31st International …,DORA introduces an external open-source small language model (SLM) that dynamically  generates prompts for the reflection LLM. The SLM uses feedback from the agent and,https://aclanthology.org/2025.coling-main.504/,https://aclanthology.org/2025.coling-main.504.pdf,6,"/scholar?cites=10328134735524372039&as_sdt=5,33&sciodt=0,33&hl=en"
Can You Walk Me Through It? Explainable {SMS} Phishing Detection using {LLM-based} Agents,Y Wang; H Zhai; C Wang; Q Hao; NA Cohen,2025,… -First Symposium on …,"We explore the possibility of using an LLM agent to perform these tasks automatically.  More importantly, we focus on explaining the reasons behind the phishing detection results.",https://www.usenix.org/conference/soups2025/presentation/wang,https://www.usenix.org/system/files/soups2025-wang.pdf,9,"/scholar?cites=2869265765215989314&as_sdt=5,33&sciodt=0,33&hl=en"
Uxagent: An llm agent-based usability testing framework for web design,Y Lu; B Yao; H Gu; J Huang; ZJ Wang; Y Li,2025,Proceedings of the …,"LLM Agents, who can interact with each other and with the surrounding environment; this  work argues that LLM Agents  “believable” implies that the agents “appear to make decisions",https://dl.acm.org/doi/abs/10.1145/3706599.3719729,https://dl.acm.org/doi/full/10.1145/3706599.3719729,42,"/scholar?cites=10840385292511261927&as_sdt=5,33&sciodt=0,33&hl=en"
Llm-grounder: Open-vocabulary 3d visual grounding with large language model as an agent,J Yang; X Chen; S Qian; N Madaan,2024,… on Robotics and …,", we instruct the LLM agent to parse out noun phrases (eg, “wooden chair”) from the original  natural language query; to use the landmark finder, we instruct the LLM agent to parse out",https://ieeexplore.ieee.org/abstract/document/10610443/,https://arxiv.org/pdf/2309.12311,173,"/scholar?cites=979568854823805870&as_sdt=5,33&sciodt=0,33&hl=en"
Legalagentbench: Evaluating llm agents in legal domain,H Li; J Chen; J Yang; Q Ai; W Jia; Y Liu,2025,Proceedings of the …,"We evaluated a variety of commercial and opensource LLM agents, identifying several  potential weaknesses in their current capabilities. These observations provide valuable insights,",https://aclanthology.org/2025.acl-long.116/,https://aclanthology.org/2025.acl-long.116.pdf,67,"/scholar?cites=18260663318335691959&as_sdt=5,33&sciodt=0,33&hl=en"
A Comparative Study of LLM-based Agents for Interactive Text-based Game Automation,D Lee,2025,The Journal of The Institute of Internet …,,,,4,"/scholar?cites=13747152064178084947&as_sdt=5,33&sciodt=0,33&hl=en"
Many heads are better than one: Improved scientific idea generation by a llm-based multi-agent system,H Su; R Chen; S Tang; Z Yin; X Zheng; J Li,2025,Proceedings of the …,"Based on the virtual Scientific Research Ecosystems, we propose an LLM-based multi-agent  system, Virtual Scientists (VIRSCI), designed to harness the potential of LLM agents in",https://aclanthology.org/2025.acl-long.1368/,https://aclanthology.org/2025.acl-long.1368.pdf,48,"/scholar?cites=5785038883851545645&as_sdt=5,33&sciodt=0,33&hl=en"
RAH! RecSys–assistant–human: A human-centered recommendation framework with LLM agents,Y Shu; H Zhang; H Gu; P Zhang; T Lu,2024,IEEE Transactions on …,", utilizing LLM agents between  LLM-based RecSys and conversational recommender  systems. For example, under our RAH framework, LLM-based recommender systems and LLM-",https://ieeexplore.ieee.org/abstract/document/10572486/,https://arxiv.org/pdf/2308.09904,96,"/scholar?cites=10998557901789466717&as_sdt=5,33&sciodt=0,33&hl=en"
