title,authors,year,venue,abstract_or_snippet,pub_url,eprint_url,num_citations,citedby_url
CodeQA: Advanced programming question-answering using LLM agent and RAG,M Ahmed; M Dorrah; A Ashraf; Y Adel,2024,2024 6th Novel …,"a sophisticated LLM model within the RAG framework, further improves the precision,  effectiveness of retrieval, and sensitivity of the context of responses. The model based on LLM",https://ieeexplore.ieee.org/abstract/document/10753267/,,13,"/scholar?cites=8259992752613190239&as_sdt=5,33&sciodt=0,33&hl=en"
LLM multi-agent systems: Challenges and open problems,S Han; Q Zhang; W Jin; Z Xu,2024,arXiv preprint arXiv:2402.03578,"• Episodic Memory: This type of memory encompasses a  of LLM agents beyond the confines  of single-agent paradigms.  collaborative dynamics among agents, multi-agent systems can",https://arxiv.org/abs/2402.03578,https://arxiv.org/pdf/2402.03578,262,"/scholar?cites=1062942653179028763&as_sdt=5,33&sciodt=0,33&hl=en"
Mantra: Enhancing automated method-level refactoring with contextual RAG and multi-agent LLM collaboration,Y Xu; F Lin; J Yang; N Tsantalis,2025,arXiv preprint arXiv:2503.14340,"In this paper, we propose MANTRA (Multi-AgeNT Code RefAactoring), an end-to-end LLM  agent-based solution for automated methodlevel refactoring. Given a method to refactor and a",https://arxiv.org/abs/2503.14340,https://arxiv.org/pdf/2503.14340,15,"/scholar?cites=10995442587929646462&as_sdt=5,33&sciodt=0,33&hl=en"
Memengine: A unified and modular library for developing advanced memory of llm-based agents,Z Zhang; Q Dai; X Chen; R Li; Z Li; Z Dong,2025,Companion Proceedings of …,"LLM-based agent with powerful memory capabilities. Besides, we provide various memory   observation when stored into memory, as an auxiliary criterion for the retrieval process.",https://dl.acm.org/doi/abs/10.1145/3701716.3715299,https://dl.acm.org/doi/pdf/10.1145/3701716.3715299,12,"/scholar?cites=18346746544935464426&as_sdt=5,33&sciodt=0,33&hl=en"
Muallm: A multimodal large language model agent for circuit design assistance with hybrid contextual retrieval-augmented generation,P Abbineni; S Aldowaish; C Liechty,2026,2026 31st Asia and …,"Furthermore, many LLM approaches lack robust multimodal reasoning and domainspecific   MuaLLM, a multimodal LLM agent integrated with a hybrid RAG framework capable of",https://ieeexplore.ieee.org/abstract/document/11420505/,https://arxiv.org/pdf/2508.08137?,4,"/scholar?cites=13539837019546214335&as_sdt=5,33&sciodt=0,33&hl=en"
Enhancing large language model with self-controlled memory framework,B Wang; X Liang; J Yang; H Huang; S Wu; P Wu,2023,arXiv preprint arXiv …,"how to utilize them from the memory stream. In this framework, the  LLM as observations  (inputs). Each segment is processed by the LLM using two types of memory: a long-term memory",https://arxiv.org/abs/2304.13343,https://arxiv.org/pdf/2304.13343,43,"/scholar?cites=7143413975611984407&as_sdt=5,33&sciodt=0,33&hl=en"
Agentic retrieval-augmented generation: A survey on agentic rag,A Singh; A Ehtesham; S Kumar; TT Khoei,2025,arXiv preprint arXiv …,"Data Integration and LLM Synthesis: Once retrieval is complete, the data from all agents is  passed to a Large Language Model (LLM). The LLM synthesizes the retrieved information into",https://arxiv.org/abs/2501.09136,https://arxiv.org/pdf/2501.09136,300,"/scholar?cites=7259743239615266303&as_sdt=5,33&sciodt=0,33&hl=en"
CLAG: Adaptive Memory Organization via Agent-Driven Clustering for Small Language Model Agents,T Roh; W Jang; J Jung; J Kang,2026,arXiv preprint arXiv:2603.15421,"language model agents heavily rely on external memory to support knowledge reuse and  complex reasoning tasks. Yet most memory  2025), we represent an agent’s long-term memory",https://arxiv.org/abs/2603.15421,https://arxiv.org/pdf/2603.15421,0,
Use of Retrieval-Augmented Large Language Model Agent for Long-Form COVID-19 Fact-Checking,J Huang; Y Yang; M Ji; C Alba; S Zhang,2025,arXiv preprint arXiv …,"we evaluated the performance of the SAFE system configurations built on LLM agents and  RAG-enhanced models. This study makes four key contributions. First, we develop an agentic",https://arxiv.org/abs/2512.00007,https://arxiv.org/pdf/2512.00007,1,"/scholar?cites=17482014487202357845&as_sdt=5,33&sciodt=0,33&hl=en"
Rgmem: Renormalization group-based memory evolution for language agent user profile,A Tian; Y Lu; X Fan; C Wang; L Zhou; Y Zhang,2025,arXiv preprint arXiv …,"systems, primarily focus on fact-level storage and retrieval, lacking  long-term memory and  behavioral consistency for Language Agents in LLM era, we propose a self-evolving memory",https://arxiv.org/abs/2510.16392,https://arxiv.org/pdf/2510.16392?,3,"/scholar?cites=7749259026479571325&as_sdt=5,33&sciodt=0,33&hl=en"
