title,authors,year,venue,abstract_or_snippet,pub_url,eprint_url,num_citations,citedby_url
Towards Communication Efficient Multi-Agent Cooperations: Reinforcement Learning and LLM,Y Su; Y Du; Y Deng; M Dohler,2025,IEEE Transactions on …,"communication phase, we design two LLM-based agents for each robot: the Feature Ranking  Agent and the Bandwidth Adaptive Agent LLM-based agents: the Navigation Agent and the",https://ieeexplore.ieee.org/abstract/document/11222615/,https://www.techrxiv.org/doi/pdf/10.36227/techrxiv.173739115.54193062,1,"/scholar?cites=8531310866196292626&as_sdt=5,33&sciodt=0,33&hl=en"
Dynamic llm-agent network: An llm-agent collaboration framework with agent team optimization,Z Liu; Y Zhang; P Li; Y Liu; D Yang,2023,arXiv preprint arXiv:2310.02170,of agents communicating in a dynamic interaction architecture  Dynamic LLM-Agent Network  (DyLAN) for LLM-agent collabora DyLAN enables agents to interact for multiple rounds in a,https://arxiv.org/abs/2310.02170,https://arxiv.org/pdf/2310.02170,254,"/scholar?cites=14033654343850454790&as_sdt=5,33&sciodt=0,33&hl=en"
Which LLM Multi-Agent Protocol to Choose?,H Du; J Su; J Li; L Ding; Y Yang; P Han; X Tang,2025,arXiv preprint arXiv …,"To understand the tradeoff across existing LLM multi-agent  ProtocolRouter to help  users select the optimal protocol.  Second, isolating protocol effects requires pinning non-protocol",https://arxiv.org/abs/2510.17149,https://arxiv.org/pdf/2510.17149,3,"/scholar?cites=15258425159401018424&as_sdt=5,33&sciodt=0,33&hl=en"
Axis: Efficient human-agent-computer interaction with api-first llm-based agents,J Lu; Z Zhang; F Yang; J Zhang; L Wang,2025,Proceedings of the …,"2023), how the LLM-based UI agents  LLM-based UI agents, we highlight the necessity of  application programming interfaces (APIs) within the new human-agent-computer interaction (",https://aclanthology.org/2025.acl-long.381/,https://aclanthology.org/2025.acl-long.381.pdf,20,"/scholar?cites=5950880429004683761&as_sdt=5,33&sciodt=0,33&hl=en"
AutoHMA-LLM: Efficient task coordination and execution in heterogeneous multi-agent systems using hybrid large language models,T Yang; P Feng; Q Guo; J Zhang,2025,IEEE Transactions …,"the background of heterogeneous multi-agent systems and briefly  Learning, LLM Agent,  and Multi-agent Control Technology  LLM-driven multirobot collaboration, facilitating interaction",https://ieeexplore.ieee.org/abstract/document/10839354/,,39,"/scholar?cites=4856304675853011661&as_sdt=5,33&sciodt=0,33&hl=en"
GoAgent: Group-of-Agents Communication Topology Generation for LLM-based Multi-Agent Systems,H Chen; X Zheng; Y Liu; P Jiao; S Li; H Liu,2026,arXiv preprint arXiv …,"communication overhead. To address this limitation, we propose GoAgent (Group-of-Agents),  a communication  candidate groups through an LLM and then autoregressively selects and",https://arxiv.org/abs/2603.19677,,0,
Flooding spread of manipulated knowledge in llm-based multi-agent communities,T Ju; Y Wang; X Ma; P Cheng; H Zhao; Y Wang,2024,arXiv preprint arXiv …,LLM-based agents to spread both counterfactual and toxic knowledge without degrading their  foundational capabilities during agent communication munication protocol whereby agents,https://arxiv.org/abs/2407.07791,https://arxiv.org/pdf/2407.07791?,79,"/scholar?cites=3754562162800219526&as_sdt=5,33&sciodt=0,33&hl=en"
"The Five Ws of Multi-Agent Communication: Who Talks to Whom, When, What, and Why--A Survey from MARL to Emergent Language and LLMs",J Chen; H Yang; Z Liu; C Joe-Wong,2026,arXiv preprint arXiv:2602.11583,"EL, and LLM-based systems address complementary aspects of multi-agent communication.   -Comm across MARL, EL, and LLM-based multi-agent systems. Organized around the Five",https://arxiv.org/abs/2602.11583,https://arxiv.org/pdf/2602.11583,1,"/scholar?cites=7825711196519658288&as_sdt=5,33&sciodt=0,33&hl=en"
A survey on large language model-based game agents,S Hu; T Huang; G Liu; RR Kompella; F Ilhan,2024,arXiv preprint arXiv …,"At the multi-agent level, we outline how communication protocols and organizational models  support coordination, role differentiation, and large-scale social behaviors. To contextualize",https://arxiv.org/abs/2404.02039,https://arxiv.org/pdf/2404.02039,132,"/scholar?cites=10992456798717631884&as_sdt=5,33&sciodt=0,33&hl=en"
"Large language model agent: A survey on methodology, applications and challenges",J Luo; W Zhang; Y Yuan; Y Zhao; J Yang; Y Gu,2025,arXiv preprint arXiv …,"taxonomy for understanding LLM agents and identify promising  at https://github.com/luo-junyu/Awesome-Agent-Papers  , communication protocols, and diverse applications on LLM",https://arxiv.org/abs/2503.21460,https://arxiv.org/pdf/2503.21460?,140,"/scholar?cites=2553384233263415865&as_sdt=5,33&sciodt=0,33&hl=en"
LLM Agent Communication Protocol (LACP) Requires Urgent Standardization: A Telecom-Inspired Protocol is Necessary,X Li; M Liu; C Yuen,2025,arXiv preprint arXiv:2510.13821,"field of LLM agents requires a unified, telecom-inspired communication protocol to ensure   Current ad-hoc communication methods are creating a fragmented ecosystem, reminiscent",https://arxiv.org/abs/2510.13821,https://arxiv.org/pdf/2510.13821,1,"/scholar?cites=5376903271981776349&as_sdt=5,33&sciodt=0,33&hl=en"
Embodied llm agents learn to cooperate in organized teams,X Guo; K Huang; J Liu; W Fan; N Vélez,2026,IEEE Transactions …,on LLM agents to mitigate these problems. Through a series of experiments with embodied  LLM agents and human–agent  multi-LLM-agent architecture to facilitate communication and,https://ieeexplore.ieee.org/abstract/document/11402892/,https://arxiv.org/pdf/2403.12482,119,"/scholar?cites=2473102724521297394&as_sdt=5,33&sciodt=0,33&hl=en"
