title,authors,year,venue,abstract_or_snippet,pub_url,eprint_url,num_citations,citedby_url,Cleaned Title,Original Abstract,Abstract DOI,Abstract Source,Abstract Status
Emergent coordination in multi-agent language models,C Riedl,2025.0,arXiv preprint arXiv:2510.05174,"framework establishes that multi-agent LLM systems can be  cognition to the agents, the  patterns of interaction we observe  when is a population of LLM agents a mere collection vs. a",https://arxiv.org/abs/2510.05174,https://arxiv.org/pdf/2510.05174?,9,"/scholar?cites=845333095722526808&as_sdt=5,33&sciodt=0,33&hl=en",Emergent coordination in multi-agent language models,"When are multi-agent LLM systems merely a collection of individual agents versus an integrated collective with higher-order structure? We introduce an information-theoretic framework to test -- in a purely data-driven way -- whether multi-agent systems show signs of higher-order structure. This information decomposition lets us measure whether dynamical emergence is present in multi-agent LLM systems, localize it, and distinguish spurious temporal coupling from performance-relevant cross-agent synergy. We implement a practical criterion and an emergence capacity criterion operationalized as partial information decomposition of time-delayed mutual information (TDMI). We apply our framework to experiments using a simple guessing game without direct agent communication and minimal group-level feedback with three randomized interventions. Groups in the control condition exhibit strong temporal synergy but little coordinated alignment across agents. Assigning a persona to each agent introduces stable identity-linked differentiation. Combining personas with an instruction to ``think about what other agents might do''shows identity-linked differentiation and goal-directed complementarity across agents. Taken together, our framework establishes that multi-agent LLM systems can be steered with prompt design from mere aggregates to higher-order collectives. Our results are robust across emergence measures and entropy estimators, and not explained by coordination-free baselines or temporal dynamics alone. Without attributing human-like cognition to the agents, the patterns of interaction we observe mirror well-established principles of collective intelligence in human groups: effective performance requires both alignment on shared objectives and complementary contributions across members.",10.48550/arXiv.2510.05174,SemanticScholar,found
Why do multi-agent llm systems fail?,M Cemri; MZ Pan; S Yang; LA Agrawal,2025.0,arXiv preprint arXiv …,"Despite the growing interest in LLM agents, dedicated research systematically  [37]  catalogs challenges in human-agent interaction, our contribution focuses specifically on",https://arxiv.org/abs/2503.13657,https://arxiv.org/pdf/2503.13657,277,"/scholar?cites=6760601859756774675&as_sdt=5,33&sciodt=0,33&hl=en",Why do multi-agent llm systems fail?,,,,skipped
Emergence of Machine Language in LLM-based Agent Communication,X Zou; S Ren; Y Chen; Z Wang; S Hu,,,"In this section, we present an agent design for the LLM-based agent in referential games.  We first describe how the agent’s memory is utilized and updated, and then introduce the",https://openreview.net/forum?id=zy06mHNoO2,https://openreview.net/pdf?id=zy06mHNoO2,0,,Emergence of Machine Language in LLM-based Agent Communication,,,,skipped
LLM-deliberation: Evaluating LLMs with interactive multi-agent negotiation game,S Abdelnabi; A Gomaa; S Sivaprasad; L Schönherr,2023.0,,"Finally, we show that these games can help evaluate other critical aspects, such as the  interaction dynamics between agents in the presence of greedy and adversarial players.",https://openreview.net/forum?id=cfL8zApofK,https://openreview.net/pdf?id=cfL8zApofK,85,"/scholar?cites=11550071663328852707&as_sdt=5,33&sciodt=0,33&hl=en",LLM-deliberation: Evaluating LLMs with interactive multi-agent negotiation game,,,,skipped
Mirix: Multi-agent memory system for llm-based agents,Y Wang; X Chen,2025.0,arXiv preprint arXiv:2507.07957,"Each component is structurally and functionally tailored to capture different aspects of user  interaction and world knowledge, enabling the agent to retrieve, reason, and act effectively",https://arxiv.org/abs/2507.07957,https://arxiv.org/pdf/2507.07957?,64,"/scholar?cites=17165080738112837085&as_sdt=5,33&sciodt=0,33&hl=en",Mirix: Multi-agent memory system for llm-based agents,,,,skipped
Agentscomerge: Large language model empowered collaborative decision making for ramp merging,S Hu; Z Fang; Z Fang; Y Deng; X Chen,2025.0,IEEE Transactions …,"agents, we introduce a communication  inter-agent communication, we conduct an ablation  study to compare the performance of our proposed method with and without communication.",https://ieeexplore.ieee.org/abstract/document/10976336/,https://arxiv.org/pdf/2408.03624,44,"/scholar?cites=5056136055310922920&as_sdt=5,33&sciodt=0,33&hl=en",Agentscomerge: Large language model empowered collaborative decision making for ramp merging,,,,skipped
Generative emergent communication: Large language model is a collective world model,T Taniguchi; R Ueda; T Nakamura; M Suzuki,2024.0,arXiv preprint arXiv …,"Section 4 explains how a collective world model can emerge from multiagent interaction  and cooperation. Section 5 applies this theory to reinterpret LLMs. Finally, Section 6 discusses",https://arxiv.org/abs/2501.00226,https://arxiv.org/pdf/2501.00226,18,"/scholar?cites=4890208311160293833&as_sdt=5,33&sciodt=0,33&hl=en",Generative emergent communication: Large language model is a collective world model,,,,skipped
LLM4MAC: An LLM-driven reinforcement learning framework for MAC protocol emergence,R Tan; R Li; Z Zhao,2025.0,2025 IEEE 26th International Workshop …,"Since traditional multi-agent reinforcement learning (MARL) falters with fluctuating agent  numbers and typical LLM applications lack exploratory power for protocol emergence, we",https://ieeexplore.ieee.org/abstract/document/11143367/,https://arxiv.org/pdf/2503.08123,2,"/scholar?cites=11216187257099890914&as_sdt=5,33&sciodt=0,33&hl=en",LLM4MAC: An LLM-driven reinforcement learning framework for MAC protocol emergence,,,,skipped
EcoLANG: Efficient and Effective Agent Communication Language Induction for Social Simulation,X Mou; C Qian; W Liu; X Huang,2025.0,arXiv preprint arXiv …,"communication between agents. The overall process is depicted in Part IB of Figure 2 To  simulate this, we let agents interact via LLMdriven dialogues under varying rule prompts. Given",https://aclanthology.org/anthology-files/anthology-files/pdf/findings/2025.findings-emnlp.284.pdf,https://aclanthology.org/anthology-files/anthology-files/pdf/findings/2025.findings-emnlp.284.pdf,3,"/scholar?cites=17997916940697586667&as_sdt=5,33&sciodt=0,33&hl=en",EcoLANG: Efficient and Effective Agent Communication Language Induction for Social Simulation,"Large language models (LLMs) have demonstrated an impressive ability to role-play humans and replicate complex social dynamics. While large-scale social simulations are gaining increasing attention, they still face significant challenges, particularly regarding high time and computation costs. Existing solutions, such as distributed mechanisms or hybrid agent-based model (ABM) integrations, either fail to address inference costs or compromise accuracy and generalizability. To this end, we propose EcoLANG: Efficient and Effective Agent Communication Language Induction for Social Simulation. EcoLANG operates in two stages: (1) language evolution, where we filter synonymous words and optimize sentence-level rules through natural selection, and (2) language utilization, where agents in social simulations communicate using the evolved language. Experimental results demonstrate that EcoLANG reduces token consumption by over 20%, enhancing efficiency without sacrificing simulation accuracy.",10.48550/arXiv.2505.06904,SemanticScholar,found
Computational experiments meet large language model based agents: A survey and perspective,Q Ma; X Xue; D Zhou; X Yu; D Liu; X Zhang,2024.0,arXiv preprint arXiv …,"Behind each individual can be a program, a real human, or a LLM-based Agent, and  sociability is born from the interaction between individuals. Artificial Society constructed by",https://arxiv.org/abs/2402.00262,https://arxiv.org/pdf/2402.00262,31,"/scholar?cites=4577354700725284472&as_sdt=5,33&sciodt=0,33&hl=en",Computational experiments meet large language model based agents: A survey and perspective,"Computational experiments have emerged as a valuable method for studying complex systems, involving the algorithmization of counterfactuals. However, accurately representing real social systems in Agent-based Modeling (ABM) is challenging due to the diverse and intricate characteristics of humans, including bounded rationality and heterogeneity. To address this limitation, the integration of Large Language Models (LLMs) has been proposed, enabling agents to possess anthropomorphic abilities such as complex reasoning and autonomous learning. These agents, known as LLM-based Agent, offer the potential to enhance the anthropomorphism lacking in ABM. Nonetheless, the absence of explicit explainability in LLMs significantly hinders their application in the social sciences. Conversely, computational experiments excel in providing causal analysis of individual behaviors and complex phenomena. Thus, combining computational experiments with LLM-based Agent holds substantial research potential. This paper aims to present a comprehensive exploration of this fusion. Primarily, it outlines the historical development of agent structures and their evolution into artificial societies, emphasizing their importance in computational experiments. Then it elucidates the advantages that computational experiments and LLM-based Agents offer each other, considering the perspectives of LLM-based Agent for computational experiments and vice versa. Finally, this paper addresses the challenges and future trends in this research domain, offering guidance for subsequent related studies.",10.48550/arXiv.2402.00262,SemanticScholar,found
